date,Ave. Temp. [°C],Precip. [mm]
2024.04.01,18.4,4.7
2024.04.02,11.2,10.3
2024.04.03,13.1,0.2
2024.04.04,13.3,0.7
2024.04.05,14.6,0.2
2024.04.06,15.7,0
2024.04.07,16.8,0
2024.04.08,17.7,0
2024.04.09,18.3,0.3
2024.04.10,15.4,1.1
2024.04.11,12.7,1.1
2024.04.12,12.1,1.9
2024.04.13,11.7,2.3
2024.04.14,11.9,2.4
2024.04.15,11.7,4.1
2024.04.16,11.9,3.2
2024.04.17,12.3,2.5
2024.04.18,12.2,2.1
2024.04.19,12.3,1.3
2024.04.20,12.7,1.7
2024.04.21,12.8,1.8
2024.04.22,12.7,1.9
2024.04.23,12.2,1.8
2024.04.24,12.4,1.8
2024.04.25,12.5,1.8
2024.04.26,12.9,1.7
2024.04.27,12.9,2
2024.04.28,13.1,1.9
2024.04.29,13.3,2.1
2024.04.30,13.7,1.9
