date,Ave. Temp. [°C],Precip. [mm]
2024.08.01,27.5,0.3
2024.08.02,25.4,3.3
2024.08.03,23.7,2
2024.08.04,24.4,0.6
2024.08.05,26,0.1
2024.08.06,27.1,0
2024.08.07,28.5,0.1
2024.08.08,29,0.3
2024.08.09,28.1,0.9
2024.08.10,27.2,0.9
2024.08.11,26.4,1.3
2024.08.12,25.6,1.5
2024.08.13,25.5,0.9
2024.08.14,25,1.3
2024.08.15,24.6,1.4
2024.08.16,24.2,1.5
2024.08.17,24,0.9
2024.08.18,24,1.4
2024.08.19,24,1.8
2024.08.20,23.5,2.1
2024.08.21,23.4,1.3
2024.08.22,23.4,1.4
2024.08.23,23.7,0.9
2024.08.24,23.7,1.2
2024.08.25,23.2,1.7
2024.08.26,23.2,1
2024.08.27,23.6,0.8
2024.08.28,22.3,2
2024.08.29,22.1,1.1
2024.08.30,22.3,1.1
2024.08.31,,
