;Ave. Temp. [°C];Precip. [mm]
2024.02.01;4.3;1.2
2024.02.02;3.2;0
2024.02.03;6.9;0
2024.02.04;8.5;0.4
2024.02.05;9.4;1.6
2024.02.06;7.3;0
2024.02.07;6.8;0.2
2024.02.08;6.4;0.9
2024.02.09;8.4;1
2024.02.10;10.1;4.7
2024.02.11;7.7;5.2
2024.02.12;4.6;4.3
2024.02.13;3;3.4
2024.02.14;2;1.8
2024.02.15;1.3;1.6
2024.02.16;0.6;1.8
2024.02.17;0.2;1.6
2024.02.18;0.2;1.6
2024.02.19;-0.1;1.9
2024.02.20;0.1;1.6
2024.02.21;0.7;1.9
2024.02.22;0.7;2.1
2024.02.23;1.3;1.3
2024.02.24;1.4;1.8
2024.02.25;1.7;1.1
2024.02.26;2.3;1.6
2024.02.27;2.9;1.6
2024.02.28;2.9;2.1
2024.02.29;2.7;2.1
