;Ave. Temp. [°C];Precip. [mm]
2024.01.01;4,8;8,8
2024.01.02;6;0,7
2024.01.03;8,3;2,5
2024.01.04;6,3;1,1
2024.01.05;6,2;2,3
2024.01.06;6,8;8,3
2024.01.07;2,6;7
2024.01.08;-1,9;3,9
2024.01.09;-3,8;1,1
2024.01.10;-4,3;0,5
2024.01.11;-4,1;0,9
2024.01.12;-2,6;1
2024.01.13;-2,2;0,9
2024.01.14;-1,6;1,5
2024.01.15;-2,1;1,7
2024.01.16;-2,1;1,3
2024.01.17;-1,7;1,4
2024.01.18;-1,1;1,8
2024.01.19;-0,7;2,4
2024.01.20;0;1,7
2024.01.21;0,4;2
2024.01.22;0,1;1,5
2024.01.23;-0,5;1
2024.01.24;-0,1;1,1
2024.01.25;-0,1;1,5
2024.01.26;0,3;1,4
2024.01.27;0,6;1,4
2024.01.28;0,1;1,4
2024.01.29;0,4;1,3
2024.01.30;0,5;1,8
