date,Ave. Temp. [°C],Precip. [mm]
2024.07.01,23.4,1.2
2024.07.02,20.9,8.2
2024.07.03,20.8,3
2024.07.04,20.7,2.3
2024.07.05,22,0.4
2024.07.06,23.7,0.3
2024.07.07,24.8,1
2024.07.08,24.7,2.4
2024.07.09,24.2,1.7
2024.07.10,24.3,1.3
2024.07.11,24.5,1.6
2024.07.12,24.7,1.4
2024.07.13,25,1.7
2024.07.14,25,1.6
2024.07.15,25.1,0.8
2024.07.16,24.8,2.5
2024.07.17,24.6,1.5
2024.07.18,24.6,2.5
2024.07.19,24.1,2.4
2024.07.20,24.2,1.7
2024.07.21,24.3,1.5
2024.07.22,24.6,2
2024.07.23,24.8,2
2024.07.24,24.8,1.6
2024.07.25,25,0.5
2024.07.26,25.2,0.9
2024.07.27,will be updated on 4th June,will be updated on 4th June
2024.07.28,will be updated on 4th June,will be updated on 4th June
2024.07.29,will be updated on 4th June,will be updated on 4th June
2024.07.30,will be updated on 4th June,will be updated on 4th June
