date,Ave. Temp. [°C],Precip. [mm]
2024.06.01,18.5,1.9
2024.06.02,20,0.2
2024.06.03,19.1,7.9
2024.06.04,18,3.8
2024.06.05,19.2,1
2024.06.06,20.3,0.9
2024.06.07,21.6,0.9
2024.06.08,22.4,1.5
2024.06.09,21.7,3
2024.06.10,21.1,2.2
2024.06.11,20.8,2.5
2024.06.12,21.1,1.4
2024.06.13,21.4,1.3
2024.06.14,21.6,1.4
2024.06.15,22.2,1.4
2024.06.16,22.6,2.5
2024.06.17,23.1,1.4
2024.06.18,23.2,1.7
2024.06.19,22.9,2.3
2024.06.20,22.4,2.1
2024.06.21,22.6,1.8
2024.06.22,22.7,2.1
2024.06.23,22.8,1.6
2024.06.24,23.2,2.2
2024.06.25,23.2,1.5
2024.06.26,23.4,1.8
2024.06.27,23.5,1.6
2024.06.28,23.2,2.5
2024.06.29,22.8,1.8
2024.06.30,23,2.1
