date,Ave. Temp. [°C],Precip. [mm]
2024.03.01,10.7,0.9
2024.03.02,9.5,0.7
2024.03.03,9.9,0.7
2024.03.04,8.8,3.5
2024.03.05,7.8,2.5
2024.03.06,7.4,1.2
2024.03.07,7,1
2024.03.08,6.6,0.7
2024.03.09,6.3,0.7
2024.03.10,6.1,0.5
2024.03.11,6.6,1.3
2024.03.12,6.8,1.2
2024.03.13,7,1.3
2024.03.14,7.2,1.6
2024.03.15,7.3,1.8
2024.03.16,7.5,1.9
2024.03.17,7.4,1.6
2024.03.18,7.5,1.7
2024.03.19,7.4,1.9
2024.03.20,7.2,2.1
2024.03.21,7,3
2024.03.22,6.5,2.8
2024.03.23,6.7,1.8
2024.03.24,6.8,1.2
2024.03.25,7.1,1.4
2024.03.26,7.3,2.1
2024.03.27,will be updated on 1st March,will be updated on 1st March
2024.03.28,will be updated on 1st March,will be updated on 1st March
2024.03.29,will be updated on 1st March,will be updated on 1st March
2024.03.30,will be updated on 1st March,will be updated on 1st March
2024.03.31,will be updated on 1st March,will be updated on 1st March
