date,Ave. Temp. [°C],Precip. [mm]
2024.05.01,18,0
2024.05.02,17.1,7.6
2024.05.03,14.5,7.5
2024.05.04,15,2.2
2024.05.05,15.7,1.4
2024.05.06,15,2.5
2024.05.07,14.3,2.3
2024.05.08,14.3,1.8
2024.05.09,14.3,1.9
2024.05.10,14.2,1.3
2024.05.11,14.4,1.8
2024.05.12,14.8,1.4
2024.05.13,15.2,2.1
2024.05.14,15.8,2.5
2024.05.15,16.3,2
2024.05.16,16.7,2.6
2024.05.17,16.8,2.9
2024.05.18,17.1,3.1
2024.05.19,17.3,2.6
2024.05.20,17.5,2.4
2024.05.21,17.6,2.3
2024.05.22,17.7,2.7
2024.05.23,17.9,1.8
2024.05.24,18.2,1.6
2024.05.25,18.7,1.5
2024.05.26,18.8,1.9
2024.05.27,18.6,2.6
2024.05.28,18.8,2.8
2024.05.29,19.6,2.2
2024.05.30,19.8,1.5
2024.05.31,19.9,1.8
