date,Ave. Temp. [°C],Precip. [mm]
2024.11.01,10.7,0
2024.11.02,9.4,0
2024.11.03,6.6,0
2024.11.04,6.7,0.1
2024.11.05,6.6,0.1
2024.11.06,6.4,0
2024.11.07,5.7,0.1
2024.11.08,5.1,0.2
2024.11.09,5.1,0.1
2024.11.10,4.9,0.9
2024.11.11,4.7,1.2
2024.11.12,4.5,1
2024.11.13,4.4,1.1
2024.11.14,4.2,0.7
2024.11.15,4.3,1.3
2024.11.16,4.6,1.6
2024.11.17,4.7,1.4
2024.11.18,4.4,1.4
2024.11.19,4.1,1.5
2024.11.20,4.3,1.4
2024.11.21,4.4,1.6
2024.11.22,4.1,2
2024.11.23,3.8,1.7
2024.11.24,3.9,2.8
2024.11.25,3.9,1.5
2024.11.26,3.4,1.3
2024.11.27,3.9,1.6
2024.11.28,3.8,1.6
2024.11.29,4.1,2.1
2024.11.30,3.7,1.7
