date,Ave. Temp. [°C],Precip. [mm]
2024.10.01,11.9,0.3
2024.10.02,14,1.3
2024.10.03,13.2,2.5
2024.10.04,13,1
2024.10.05,13,1
2024.10.06,13.4,1.2
2024.10.07,14.1,0.8
2024.10.08,14.2,1.1
2024.10.09,14.1,1.5
2024.10.10,13.9,2.3
2024.10.11,13.3,2.6
2024.10.12,13.1,2.6
2024.10.13,12.9,2.2
2024.10.14,12.7,2.3
2024.10.15,12.3,1.8
2024.10.16,12,1.1
2024.10.17,11.6,1.8
2024.10.18,11.2,2.5
2024.10.19,11,2
2024.10.20,10.9,1.4
2024.10.21,11.1,2.2
2024.10.22,10.9,2.3
2024.10.23,10.8,1.5
2024.10.24,10.4,1.4
2024.10.25,10.1,1.7
2024.10.26,will be updated on 4th October,will be updated on 4th October
2024.10.27,will be updated on 4th October,will be updated on 4th October
2024.10.28,will be updated on 4th October,will be updated on 4th October
2024.10.29,will be updated on 4th October,will be updated on 4th October
2024.10.30,will be updated on 4th October,will be updated on 4th October
2024.10.31,will be updated on 4th October,will be updated on 4th October
