date,Ave. Temp. [°C],Precip. [mm]
2024.09.01,25.5,0
2024.09.02,25.4,0.1
2024.09.03,26.5,0
2024.09.04,26.8,0
2024.09.05,26.3,0.7
2024.09.06,25.4,0.8
2024.09.07,24.3,1.1
2024.09.08,23.3,1.4
2024.09.09,22.4,2.2
2024.09.10,21.6,2.1
2024.09.11,21.4,2.4
2024.09.12,20.8,2.4
2024.09.13,20.3,2.6
2024.09.14,19.7,2.4
2024.09.15,19.2,2.8
2024.09.16,18.6,3
2024.09.17,18.4,1.5
2024.09.18,18.5,2
2024.09.19,18.1,1.7
2024.09.20,18.1,1.8
2024.09.21,18.1,2.2
2024.09.22,17.5,1.3
2024.09.23,17.3,1.4
2024.09.24,17,1.6
2024.09.25,16.6,1.3
2024.09.26,16.5,0.8
2024.09.27,16.7,1.7
2024.09.28,16.2,1.9
2024.09.29,15.9,1.5
2024.09.30,15.9,1.7
