"LAKE VELENCE LWL
AGÁRD",Observed (hourly),Observed,Observed (daily average),date,Oi,Pi (Matthew Chapman),[Oi-Pi(Matthew Chapman)]^2,RMSE (Matthew Chapman),Monthly winner,
2024.02.29 23:00,137,2024.02.29,136,2024.02.01,127,126,1,4.09,Matthew Chapman,
2024.02.29 22:00,137,2024.02.28,136,2024.02.02,127,126,1,,,
2024.02.29 21:00,137,2024.02.27,136,2024.02.03,127,126,1,,,
2024.02.29 20:00,137,2024.02.26,135,2024.02.04,127,127,0,,,
2024.02.29 19:00,136,2024.02.25,135,2024.02.05,128,127,1,,,
2024.02.29 18:00,137,2024.02.24,134,2024.02.06,128,127,1,,,
2024.02.29 17:00,137,2024.02.23,134,2024.02.07,129,127,4,,,
2024.02.29 16:00,137,2024.02.22,133,2024.02.08,129,127,4,,,
2024.02.29 15:00,136,2024.02.21,134,2024.02.09,129,127,4,,,
2024.02.29 14:00,136,2024.02.20,133,2024.02.10,129,127,4,,,
2024.02.29 13:00,136,2024.02.19,133,2024.02.11,130,128,4,,,
2024.02.29 12:00,136,2024.02.18,133,2024.02.12,132,128,16,,,
2024.02.29 11:00,136,2024.02.17,133,2024.02.13,132,128,16,,,
2024.02.29 10:00,136,2024.02.16,133,2024.02.14,132,128,16,,,
2024.02.29 9:00,136,2024.02.15,132,2024.02.15,132,128,16,,,
2024.02.29 8:00,136,2024.02.14,132,2024.02.16,133,128,25,,,
2024.02.29 7:00,136,2024.02.13,132,2024.02.17,133,128,25,,,
2024.02.29 6:00,136,2024.02.12,132,2024.02.18,133,129,16,,,
2024.02.29 5:00,136,2024.02.11,130,2024.02.19,133,129,16,,,
2024.02.29 4:00,136,2024.02.10,129,2024.02.20,133,129,16,,,
2024.02.29 3:00,136,2024.02.09,129,2024.02.21,134,129,25,,,
2024.02.29 2:00,136,2024.02.08,129,2024.02.22,133,129,16,,,
2024.02.29 1:00,136,2024.02.07,129,2024.02.23,134,129,25,,,
2024.02.29 0:00,136,2024.02.06,128,2024.02.24,134,129,25,,,
2024.02.28 23:00,136,2024.02.05,128,2024.02.25,135,129,36,,,
2024.02.28 22:00,136,2024.02.04,127,2024.02.26,135,129,36,,,
2024.02.28 21:00,136,2024.02.03,127,2024.02.27,136,129,49,,,
2024.02.28 20:00,136,2024.02.02,127,2024.02.28,136,129,49,,,
2024.02.28 19:00,136,2024.02.01,127,2024.02.29,136,130,36,,,
2024.02.28 18:00,136,,,,,,,,,
2024.02.28 17:00,136,,,,,,,,,
2024.02.28 16:00,136,,,,,,,,,
2024.02.28 15:00,136,,,,,,,,,
2024.02.28 14:00,136,,,,,,,,,
2024.02.28 13:00,136,,,,,,,,,
2024.02.28 12:00,136,,,,,,,,,
2024.02.28 11:00,136,,,,,,,,,
2024.02.28 10:00,136,,,,,,,,,
2024.02.28 9:00,136,,,,,,,,,
2024.02.28 8:00,136,,,,,,,,,
