LAKE VELENCE LWL AGÁRD;Observed hourly;Observed ;daily average;date;Oi;Pi (Matthew Chapman);[Oi-Pi(Matthew Chapman)]^2;RMSE (Matthew Chapman);Monthly winner
2024.01.31 23:00;127;2024.01.31;127;2024.01.01;111;111;0;7.23;Matthew Chapman
2024.01.31 22:00;127;2024.01.30;126;2024.01.02;112;111;1;-;-
2024.01.31 21:00;127;2024.01.29;126;2024.01.03;113;112;1;-;-
2024.01.31 20:00;127;2024.01.28;125;2024.01.04;114;112;4;-;-
2024.01.31 19:00;127;2024.01.27;126;2024.01.05;115;112;9;-;-
2024.01.31 18:00;127;2024.01.26;124;2024.01.06;116;112;16;-;-
2024.01.31 17:00;127;2024.01.25;124;2024.01.07;116;112;16;-;-
2024.01.31 16:00;127;2024.01.24;124;2024.01.08;117;112;25;-;-
2024.01.31 15:00;127;2024.01.23;123;2024.01.09;117;112;25;-;-
2024.01.31 14:00;127;2024.01.22;123;2024.01.10;118;112;36;-;-
2024.01.31 13:00;127;2024.01.21;123;2024.01.11;118;113;25;-;-
2024.01.31 12:00;127;2024.01.20;122;2024.01.12;118;113;25;-;-
2024.01.31 11:00;127;2024.01.19;122;2024.01.13;119;113;36;-;-
2024.01.31 10:00;127;2024.01.18;121;2024.01.14;119;113;36;-;-
2024.01.31 9:00;127;2024.01.17;121;2024.01.15;120;113;49;-;-
2024.01.31 8:00;127;2024.01.16;120;2024.01.16;120;113;49;-;-
2024.01.31 7:00;127;2024.01.15;120;2024.01.17;121;113;64;-;-
2024.01.31 6:00;127;2024.01.14;119;2024.01.18;121;114;49;-;-
2024.01.31 5:00;127;2024.01.13;119;2024.01.19;122;114;64;-;-
2024.01.31 4:00;127;2024.01.12;118;2024.01.20;122;114;64;-;-
2024.01.31 3:00;127;2024.01.11;118;2024.01.21;123;114;81;-;-
2024.01.31 2:00;127;2024.01.10;118;2024.01.22;123;114;81;-;-
2024.01.31 1:00;127;2024.01.09;117;2024.01.23;123;114;81;-;-
2024.01.31 0:00;127;2024.01.08;117;2024.01.24;124;115;81;-;-
2024.01.30 23:00;127;2024.01.07;116;2024.01.25;124;115;81;-;-
2024.01.30 22:00;127;2024.01.06;116;2024.01.26;124;115;81;-;-
2024.01.30 21:00;126;2024.01.05;115;2024.01.27;126;115;121;-;-
2024.01.30 20:00;126;2024.01.04;114;2024.01.28;125;115;100;-;-
