LAKE VELENCE LWL AGÁRD,"		Observed (hourly)","		Observed","		Observed (daily average)","		date","		Oi","		Pi (Matthew Chapman)","		[Oi-Pi(Matthew Chapman)]^2","		RMSE (Matthew Chapman)","		Monthly winner"
2024.09.30 23:00,109,"		2024.09.30",109,"		2024.09.01",111,111,0,2.09,"		Matthew Chapman"
2024.09.30 22:00,109,"		2024.09.29",111,"		2024.09.02",111,111,0,"		","		"
2024.09.30 21:00,109,"		2024.09.28",110,"		2024.09.03",110,111,1,"		","		"
2024.09.30 20:00,109,"		2024.09.27",110,"		2024.09.04",110,110,0,"		","		"
2024.09.30 19:00,109,"		2024.09.26",108,"		2024.09.05",110,111,1,"		","		"
2024.09.30 18:00,109,"		2024.09.25",110,"		2024.09.06",109,110,1,"		","		"
2024.09.30 17:00,109,"		2024.09.24",110,"		2024.09.07",109,110,1,"		","		"
2024.09.30 16:00,109,"		2024.09.23",111,"		2024.09.08",108,110,4,"		","		"
2024.09.30 15:00,109,"		2024.09.22",111,"		2024.09.09",108,110,4,"		","		"
2024.09.30 14:00,109,"		2024.09.21",111,"		2024.09.10",108,110,4,"		","		"
2024.09.30 13:00,110,"		2024.09.20",112,"		2024.09.11",107,110,9,"		","		"
2024.09.30 12:00,109,"		2024.09.19",112,"		2024.09.12",107,109,4,"		","		"
2024.09.30 11:00,109,"		2024.09.18",112,"		2024.09.13",107,109,4,"		","		"
2024.09.30 10:00,109,"		2024.09.17",112,"		2024.09.14",108,109,1,"		","		"
2024.09.30 9:00,109,"		2024.09.16",112,"		2024.09.15",111,109,4,"		","		"
2024.09.30 8:00,109,"		2024.09.15",111,"		2024.09.16",112,109,9,"		","		"
2024.09.30 7:00,109,"		2024.09.14",108,"		2024.09.17",112,109,9,"		","		"
2024.09.30 6:00,109,"		2024.09.13",107,"		2024.09.18",112,109,9,"		","		"
2024.09.30 5:00,109,"		2024.09.12",107,"		2024.09.19",112,109,9,"		","		"
2024.09.30 4:00,109,"		2024.09.11",107,"		2024.09.20",112,109,9,"		","		"
2024.09.30 3:00,109,"		2024.09.10",108,"		2024.09.21",111,109,4,"		","		"
2024.09.30 2:00,110,"		2024.09.09",108,"		2024.09.22",111,108,9,"		","		"
2024.09.30 1:00,110,"		2024.09.08",108,"		2024.09.23",111,108,9,"		","		"
2024.09.30 0:00,110,"		2024.09.07",109,"		2024.09.24",110,108,4,"		","		"
